Gene_ID	source_id	Product_Description	Genomic_Length
LAMA_000005000	LAMA_000005000.1	ESCO1/2 acetyl-transferase, putative	936
LAMA_000005100	LAMA_000005100.1	hypothetical protein, conserved	1785
LAMA_000005200	LAMA_000005200.1	Carboxyl transferase domain containing protein, putative	1605
LAMA_000005300	LAMA_000005300.1	WD domain, G-beta repeat, putative	1458
LAMA_000005400	LAMA_000005400.1	PLAC8 family, putative	498
LAMA_000005500	LAMA_000005500.1	hypothetical protein, conserved	4407
LAMA_000005600	LAMA_000005600.1	BT1 family, putative	777
LAMA_000005700:pseudogene	LAMA_000005700.1	Nucleoplasmin-like domain containing protein, putative	894
LAMA_000005800	LAMA_000005800.1	hypothetical protein	748
LAMA_000005900	LAMA_000005900.1	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD, putative	1005
LAMA_000006000	LAMA_000006000.1	hypothetical protein, conserved	1422
LAMA_000006100:pseudogene	LAMA_000006100.1	Leucine Rich Repeat, putative	1890
LAMA_000006200	LAMA_000006200.1	Amastin surface glycoprotein, putative	582
LAMA_000006300	LAMA_000006300.1	hypothetical protein, conserved	1803
LAMA_000006400	LAMA_000006400.1	ABC-2 family transporter protein/ABC transporter, putative	7350
LAMA_000006500	LAMA_000006500.1	PMC2NT NUC016 domain/3-5 exonuclease/HRDC domain containing protein, putative	2232
LAMA_000006600	LAMA_000006600.1	Phosphatidylinositol-4-phosphate 5-Kinase, putative	1641
LAMA_000006700	LAMA_000006700.1	hypothetical protein, conserved	1194
LAMA_000006800	LAMA_000006800.1	PIF1-like helicase/AAA domain/Helicase, putative	3657
LAMA_000006900	LAMA_000006900.1	PPIC-type PPIASE domain containing protein, putative	348
LAMA_000007000	LAMA_000007000.1	hypothetical protein	1398
LAMA_000007100	LAMA_000007100.1	Protein kinase domain/Protein tyrosine kinase/Kinase-like, putative	1077
LAMA_000007200	LAMA_000007200.1	hypothetical protein, conserved	993
LAMA_000007300	LAMA_000007300.1	Ankyrin repeats many copies/Ankyrin repeat/Ankyrin repeats 3 copies, putative	1185
LAMA_000007400	LAMA_000007400.1	Peroxisomal biogenesis factor 11 PEX11, putative	663
LAMA_000007600	LAMA_000007600.1	Peptidase family M20/M25/M40/M42 glutamyl aminopeptidase/Peptidase dimerisation domain containing protein, putative	1272
LAMA_000007700	LAMA_000007700.1	hypothetical protein, conserved	2604
LAMA_000007800	LAMA_000007800.1	hypothetical protein, conserved	1695
LAMA_000007900	LAMA_000007900.1	Transmembrane amino acid transporter protein/Tryptophan/tyrosine permease family, putative	1467
LAMA_000008000	LAMA_000008000.1	WD domain, G-beta repeat, putative	1770
LAMA_000008100	LAMA_000008100.1	Protein kinase domain/Protein tyrosine kinase, putative	5757
LAMA_000008200	LAMA_000008200.1	hypothetical protein, conserved	882
LAMA_000008300	LAMA_000008300.1	RNA recognition motif. a.k.a. RRM, RBD, or RNP domain, putative	1968
LAMA_000008400:pseudogene	LAMA_000008400.1	Ribosomal protein L4/L1 family/60S ribosomal protein L4 C-terminal domain containing protein, putative	1125
LAMA_000008500	LAMA_000008500.1	hypothetical protein, conserved	1359
LAMA_000008600	LAMA_000008600.1	hypothetical protein, conserved	2757
LAMA_000008700	LAMA_000008700.1	hypothetical protein, conserved	1041
